URL,Search,Entity type,Entity ID,Event count,Event count
https://sacrd.org/directory/organization?zipcode=78218,,program,1109,1,1
https://sacrd.org/directory/subcategory/community-garden?zipcode=78211,,program,1008,2,2
https://sacrd.org/directory/subcategory/mental-healthcare?zipcode=78203,,program,1004,1,1
https://sacrd.org/directory/subcategory/community-garden?zipcode=78211,,program,1080,2,2
https://sacrd.org/directory/subcategory/job-training?zipcode=78214,,program,1067,1,1
https://sacrd.org/directory/subcategory/community-garden?zipcode=78207,,program,1107,1,1
https://sacrd.org/directory/organization?zipcode=78214,,program,1062,1,1
https://sacrd.org/directory/subcategory/free-meals?zipcode=78210,,program,1069,1,1
https://sacrd.org/directory/organization?zipcode=78202,,program,1112,3,3
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78211,,program,1057,2,2
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78202,,program,1022,1,1
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78202,,program,1044,2,2
https://sacrd.org/directory/organization?zipcode=78214,,program,1107,1,1
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78211,,program,1087,1,1
https://sacrd.org/directory/organization?zipcode=78218,,program,1027,3,3
https://sacrd.org/directory/organization?zipcode=78201,,program,1071,1,1
https://sacrd.org/directory/subcategory/dental-care?zipcode=78210,,program,1052,1,1
https://sacrd.org/directory/organization?zipcode=78211,,program,1033,1,1
https://sacrd.org/directory/subcategory/community-garden?zipcode=78205,,program,1043,1,1
https://sacrd.org/directory/subcategory/dental-care?zipcode=78214,,program,1052,3,3
https://sacrd.org/directory/organization?zipcode=78218,,program,1026,1,1
https://sacrd.org/directory/subcategory/mental-healthcare?zipcode=78228,,program,1078,2,2
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78201,,program,1092,1,1
https://sacrd.org/directory/subcategory/help-pay-for-food?zipcode=78210,,program,1116,3,3
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78202,,program,1083,1,1
https://sacrd.org/directory/organization?zipcode=78218,,program,1025,3,3
https://sacrd.org/directory/organization?zipcode=78211,,program,1110,1,1
https://sacrd.org/directory/subcategory/help-pay-for-food?zipcode=78203,,program,1116,1,1
https://sacrd.org/directory/subcategory/help-pay-for-food?zipcode=78218,,program,1093,1,1
https://sacrd.org/directory/organization?zipcode=78201,,program,1096,1,1
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78211,,program,1101,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78207,,program,1003,3,3
https://sacrd.org/directory/subcategory/mental-healthcare?zipcode=78205,,program,1004,1,1
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78211,,program,1083,3,3
https://sacrd.org/directory/subcategory/free-meals?zipcode=78207,,program,1110,1,1
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78211,,program,1002,3,3
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78228,,program,1117,2,2
https://sacrd.org/directory/organization?zipcode=78211,,program,1024,3,3
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78210,,program,1054,1,1
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78207,,program,1058,1,1
https://sacrd.org/directory/subcategory/youth-programs?zipcode=78237,,program,1073,1,1
https://sacrd.org/directory/organization?zipcode=78202,,program,1028,2,2
https://sacrd.org/directory/organization?zipcode=78214,,program,1036,2,2
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78205,,program,1048,1,1
https://sacrd.org/directory/organization?zipcode=78211,,program,1047,2,2
https://sacrd.org/directory/subcategory/free-meals?zipcode=78214,,program,1028,1,1
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78205,,program,1057,2,2
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78237,,program,1039,3,3
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78202,,program,1012,1,1
